sektor,vrednost
Tehnologija,12344.84
Finance,7165.71
Potrošniške storitve,6011.49
Zdravstvo,5901.19
Komunikacijske storitve,4917.45
Energetika,4452.46
Osnovne potrebščine,3362.67
Industrija,3237.82
Osnovni materiali,1045.92
Javna služba,568.68
Nepremičnine,277.68
